FieldName,RA_deg,Dec_deg,UTDATE,MJD,Texp_s,G_SN_5,N
ATLAS-0,30.350248,-33.098693,2018-09-14,58375.59,7200,18.9,347
ATLAS-1,28.406544,-31.922932,2018-09-13,58374.60,7200,19.1,359
ATLAS-3,24.569248,-29.628485,2018-09-12,58373.62,7200,18.8,359
ATLAS-4,22.671638,-28.507177,2018-09-27,58388.69,7200,18.6,359
ATLAS-5,20.784285,-27.396658,2018-10-26,58417.68,5800,18.4,345
ATLAS-6,18.912949,-26.299787,2018-09-11,58372.59,7200,18.7,359
ATLAS-7,17.046881,-25.215898,2018-10-23,58414.54,7200,18.4,359
ATLAS-8,15.186390,-24.141606,2018-10-26,58417.59,7200,18.5,359
ATLAS-10,11.485245,-22.025185,2018-09-08,58369.59,7200,18.7,359
ATLAS-11,9.638663,-20.985328,2018-09-27,58388.60,7200,18.5,348
Aliqa-Uma-1,39.653899,-37.658852,2018-09-08,58369.69,7800,18.7,347
Aliqa-Uma-2,37.776994,-36.334496,2018-09-07,58368.70,7600,18.8,347
Aliqa-Uma-3,35.965770,-34.980462,2018-09-09,58370.67,9600,19.0,347
Aliqa-Uma-4,34.211411,-33.603704,2018-08-09,58339.73,7200,19.1,348
Aliqa-Uma-5,32.515170,-32.198125,2018-08-08,58338.75,5400,18.8,308
Chenab-1,331.107304,-44.179689,2018-08-10,58340.46,7200,19.0,359
Chenab-2,330.109770,-46.053830,2018-08-10,58340.55,6700,18.6,348
Chenab-3,329.045873,-47.914236,2018-09-07,58368.41,7200,18.5,357
Chenab-4,327.900452,-49.766183,2018-09-11,58372.40,7200,18.9,359
Chenab-5,326.663567,-51.606374,2018-09-09,58370.39,7200,18.7,359
Chenab-6,325.321207,-53.432514,2018-09-08,58369.40,7200,18.6,359
Chenab-7,323.861828,-55.242360,2018-09-13,58374.42,7200,19.1,359
Chenab-8,322.259995,-57.036550,2018-08-09,58339.55,6300,19.0,348
Chenab-9,320.500812,-58.803070,2018-08-09,58339.46,6000,18.8,359
Elqui-0,22.107923,-43.089436,2018-09-14,58375.68,7800,18.7,359
Elqui-1,19.813988,-42.021790,2018-09-10,58371.59,9000,19.0,359
Elqui-2,17.594839,-40.909998,2018-08-09,58339.63,7800,19.0,348
Elqui-3,15.453303,-39.757473,2018-08-08,58338.66,7200,18.9,348
Elqui-4,13.383956,-38.560740,2018-09-09,58370.55,9000,18.8,359
Elqui-5,11.380964,-37.334282,2018-08-07,58337.59,7500,18.9,333
Indus-1,349.678452,-64.192996,2018-08-11,58341.66,3970,17.6,347
Indus-2,345.944962,-63.071643,2018-08-02,58332.73,7200,18.1,358
Indus-3,342.498793,-61.863658,2018-08-02,58332.66,5400,18.5,348
Indus-4,339.324859,-60.573093,2018-08-12,58342.61,5720,18.3,344
Indus-5,336.397623,-59.212635,2018-08-11,58341.55,7760,18.1,359
Indus-6,333.700573,-57.792776,2018-08-04,58334.74,6300,18.3,359
Indus-7,331.210566,-56.320239,2018-08-02,58332.59,5400,18.5,359
Indus-8,328.910308,-54.804194,2018-08-02,58332.52,5400,18.5,348
Jhelum-1,3.341637,-51.908154,2018-09-12,58373.53,7200,18.4,347
Jhelum-2,0.100185,-51.978971,2018-09-09,58370.48,5400,18.5,347
Jhelum-3,356.853568,-51.960940,2018-09-10,58371.49,7200,18.5,347
Jhelum-4,353.614405,-51.853841,2018-10-23,58414.44,7200,18.2,349
Jhelum-5,350.398170,-51.660569,2018-08-04,58334.67,6000,18.6,348
Jhelum-6,347.216054,-51.376758,2018-08-04,58334.60,5400,18.6,359
Jhelum-7,344.078713,-51.011100,2018-08-01,58331.64,7200,18.8,348
Jhelum-8,340.996359,-50.560674,2018-09-13,58374.51,6600,18.4,347
Jhelum-9,337.979644,-50.031113,2018-09-10,58371.40,7200,18.7,359
Jhelum-10,335.027230,-49.426959,2018-09-08,58369.50,7200,18.7,347
Jhelum-11,332.150927,-48.748199,2018-10-25,58416.54,5400,17.8,349
Jhelum-13,326.650541,-47.188388,2018-08-08,58338.60,4800,18.1,359
Jhelum-14,324.025939,-46.315883,2018-08-01,58331.51,7200,18.8,367
Phoenix-1,27.522755,-43.434219,2018-09-10,58371.70,7800,18.7,347
Phoenix-2,26.574314,-45.316320,2018-08-01,58331.73,7200,18.8,359
Phoenix-3,25.563754,-47.189449,2018-09-07,58368.60,7800,18.6,359
Phoenix-4,24.478430,-49.055840,2018-08-06,58336.61,9600,18.7,348
Phoenix-5,23.306432,-50.906988,2018-08-07,58337.76,5100,18.7,359
Phoenix-6,22.038990,-52.749837,2018-08-07,58337.69,5700,18.7,348
Phoenix-7,20.661395,-54.573383,2018-08-06,58336.70,7200,18.6,359
Ravi-0,344.584255,-60.354707,2018-10-26,58417.50,6900,18.3,349
Ravi-1,343.013169,-58.523030,2018-09-07,58368.51,7200,18.4,347
Ravi-2,341.596599,-56.670068,2018-09-14,58375.50,7200,18.7,359
Ravi-3,340.313034,-54.807171,2018-09-11,58372.49,7200,18.5,347
Ravi-4,339.142485,-52.930510,2018-09-29,58390.52,7200,18.4,359
Ravi-7,336.166823,-47.240314,2018-09-27,58388.50,7200,18.5,359
Ravi-8,335.318605,-45.326721,2018-09-12,58373.43,7200,18.5,359
Turranburra-8,60.602100,-18.782405,2018-10-24,58415.67,7200,18.4,349
Willka-Yaku-0,38.631197,-57.506521,2018-09-16,58377.70,7600,18.6,347
Willka-Yaku-1,38.037160,-59.482054,2018-09-11,58372.68,9600,18.7,347
Willka-Yaku-2,37.367524,-61.453825,2018-09-12,58373.71,7200,18.7,347
Willka-Yaku-3,36.606647,-63.423661,2018-09-13,58374.69,8100,18.8,347
Orphan-0,333.495287,-35.792559,2018-09-16,58377.63,5400,18.0,96
Orphan-5,311.994544,-65.291570,2018-09-14,58375.46,3000,17.8,347
Orphan-6,300.961865,-70.170982,2018-10-24,58415.49,5400,17.3,347
Orphan-7,284.073327,-73.980884,2018-10-24,58415.42,5400,17.5,336
Orphan-8,260.292330,-75.842149,2018-09-14,58375.41,3000,17.9,359
Orphan-9,234.767419,-75.015676,2018-09-16,58377.46,3600,17.6,348
Orphan-10,214.945014,-71.858611,2018-09-16,58377.41,2700,17.5,359
Orphan-11,201.728540,-67.327261,2018-09-14,58375.37,2400,18.1,347
Orphan-13,246.613855,-75.778180,2018-09-29,58390.40,4500,17.8,359
Orphan-14,272.560733,-75.241258,2018-09-27,58388.44,4500,18.3,349
Orphan-15,293.352126,-72.317383,2018-09-29,58390.46,4500,18.1,349
Orphan-16,306.916290,-67.777798,2018-10-25,58416.47,5400,17.9,359
Orphan-17,316.524807,-62.124740,2018-10-26,58417.42,5400,18.1,355
Orphan-23,188.420550,-58.979594,2019-04-04,58577.64,3600,18.2,354
Orphan-24,184.921533,-55.456617,2019-04-01,58574.65,2700,17.4,354
Orphan-25,182.010398,-51.845786,2019-04-05,58578.65,2700,17.2,352
Orphan-26,179.579995,-48.163979,2019-04-03,58576.65,2700,17.2,354
Orphan-28,175.866616,-40.612588,2019-04-02,58575.64,3600,17.7,354
Orphan-30,173.301936,-32.863553,2019-04-04,58577.59,3600,18.0,342
Orphan-32,170.967451,-25.124912,2019-04-02,58575.59,3600,18.0,343
Orphan-33,169.618942,-21.320312,2019-04-06,58579.65,3060,17.5,354
Orphan-34,168.164652,-17.552359,2019-04-03,58576.59,4500,18.3,313
Orphan-35,166.635130,-13.805600,2019-04-06,58579.61,3300,18.3,350
Orphan-36,165.068830,-10.070858,2019-04-05,58578.59,4500,18.5,312
Orphan-38,161.936058,-2.604385,2019-04-01,58574.58,4500,18.4,298
Pal5-1,224.228739,-5.306396,2018-08-02,58332.37,5400,18.9,348
Pal5-2,225.553103,-3.721754,2018-08-02,58332.43,5400,18.7,359
Pal5-5,237.497969,4.857110,2018-08-10,58340.36,7200,19.1,348
Pal5-6,240.053281,5.941191,2018-08-09,58339.37,7200,18.9,348
Sgr-m1,295.703295,-34.788933,2018-08-12,58342.36,3600,17.6,344
Sgr-m2,286.648265,-32.139498,2018-09-10,58371.37,1200,15.9,347
Sgr-m3,300.428337,-35.849861,2018-10-26,58417.40,1800,17.6,315
Sgr-s1,297.638039,-29.602086,2018-08-12,58342.41,4200,17.7,359
Sgr-s2,288.958424,-27.174620,2018-09-12,58373.39,2600,17.7,347
Sgr-s3,301.946385,-31.119809,2018-09-13,58374.37,3000,18.1,318
calib-NGC6316,259.155679,-28.139205,2018-09-08,58369.37,1800,16.0,269
calib-NGC7078,322.492990,12.167678,2018-09-11,58372.38,1200,15.3,347
calib-NGC7089,323.364115,-0.823334,2018-09-16,58377.39,600,14.7,232
calib-Sgr1,283.900504,-30.799532,2018-09-09,58370.36,600,16.4,347
calib-Sgr4,281.600246,-30.100294,2018-09-07,58368.37,1800,15.1,347
atlas-test1,26.200215,-30.599785,2018-01-23,58141.43,7200,18.5,360
atlas-test2,13.305955,-23.062726,2018-06-06,58275.76,4500,18.6,360
Pal5-pt1,222.891667,-6.885655,2018-06-05,58274.58,7200,19.0,346
Pal5-pt2,222.959421,-11.185382,2018-06-06,58275.36,7200,19.3,349
Jhelum-pt1,341.012565,-50.501704,2018-06-06,58275.69,4800,17.9,349
